Municipio,Nombre_de_la_iniciativa,Actividades,Direccion,Dias,Horario,Mes,Año
A,Olla y Merendero Tres Ombúes Zonal 14,Olla y Merendero,Pedro Giralt 5037 esquina Alagoa frente al Centro Cívico Tres Ombúes,Lunes y Jueves,19hs,Junio,2021
A,Copa de Leche Barcelona,Olla y Merendero,Barcelona 1943 esq Vizcaya,"Martes , jueves y domingo ",1630 hs,Junio,2021
A,Asociación Civil Nuestros Sueños,Merendero,Romeo Gavioli esquina Dolores Candales ,Miércoles y Viernes,18 hs.,Junio,2021
A,El rancho,Olla,Heredia 4065 esq Martín Berinduague,martes y Viernes,12 a 14hs,Junio,2021
A,OLLA VECINOS EX CASTRO,Olla y Merendero,Inclusa 1070 esquina Concordia,"Lunes, miércoles, jueves, viernes y sábados.",17hs,Junio,2021
A,Olla y merendero El Tapir,Olla y Merendero,Camino de los orientales 2844,Lunes a Domingo,Olla: Lunes a Viernes. Merendero: Lunes a Domingo,Junio,2021
A,Olla casa de la brasa (Barrio Juventud 14),Olla,Francisco javier siti esq pasaje B solar 67,Martes y jueves,S/D,Junio,2021
A,Olla y merendero feliz (Olla Ositos - Corazoncitos),Olla y Merendero,Pasaje El Ombú 018.,Todos los días,11:00 a 15hs,Junio,2021
A,Merendero el Milagro,Olla y Merendero,Pasaje el tanque entre Holanda y Viacaba (calle de Vaz Ferreira),"L, M, V y S","merienda 18, cena 20, sábados 10",Junio,2021
A,La Jade,Olla y Merendero,"Erlinda gutierrez numero de puerta 71, entre Rubén Paleo y 9 de abril.",Martes Jueves y sábados,De 19:30 a 20:30 Hs.,Junio,2021
A,Huracán de Paso de la Arena,Olla y Merendero,Luis Batlle Berres 6567,Sábado y domingo,13.30 hs,Junio,2021
A,Olla Pauru,Olla y Merendero,CAMINO PAURU 2146 BIS. ENTRE LUIS BATLLE BERRES Y TRANVIA LA BARRA,"Lunes, martes y domingos",S/D,Junio,2021
A,Olla Illesca,Olla y Merendero,illescas 5280 al fondo entre Yugoslavia y Turubi,martes y jueves,17hs,Junio,2021
A,Olla Popular Turubí,Olla y Merendero,turubi 242 entre Luis Batlle Berres y Villescas,"Lunes, miércoles y viernes",S/D,Junio,2021
A,Comisión fomento Los Bulevares,Olla y Merendero,Ideario Artiguista 1947 y Liga Federal,Lunes a Viernes,"Merendero, lunes a viernes 16.30hs. Olla miércoles, viernes 16.30hs y sábados
13.00hs",Junio,2021
A,Brigada Crece desde el Pie,Olla y Merendero,Manuel Arostegui 5874 esq Romeo Gavioli,Martes y Sábado,18:30,Junio,2021
A,Olla y Merendero Las Torres,Olla y Merendero,Cibils 5914,M y V,19,Junio,2021
A,Olla Maracaná Sur,Olla y Merendero,Manuel Oribe 017 bis esq Congreso de Avalos frente a Ruta 1 Nueva,5 veces por semana,20hs,Junio,2021
C,Olla popular Aguada,Olla,92001412,Lunes ,19hs,Junio,2021
A,Emprendimientos Ciudadanos,Olla y Merendero,Gambia 3012 esq. La vía,M y J,19,Junio,2021
A,Hoy por ti mañana por mi,Olla y Merendero,Pasaje tala 2478 esq. costa de marfil y liberia,"L, mier, V, S y D","Olla 13:00, merienda 18",Junio,2021
A,Merendero Nuestros Sueños,Olla y Merendero,Gral Hornos 5904 esquina Córdoba,Todos los días,"Lunes a viernes merendero 17:30, sábado y domingo olla 19:30",Junio,2021
A,Olla y Merendero Tiempo de Cambio,Olla y Merendero,Cno. La Boyada 1722 y Ruta 1. Parroquia,"Lunes, Martes y Jueves",17 y 20 hs,Junio,2021
A,Iniciativa Vecinal (La Boyada),Olla y Merendero,La Boyada 2447 esq Camino Cibils,"Lunes, martes y jueves","Olla y merendero: lunes, martes y jueves 19 a 20:30",Junio,2021
A,Olla y Merendero Parroquia San Alberto Hurtado,Olla y Merendero,Sierra Leona 144 esquina Tala,Domingo,13 hs,Junio,2021
A,Olla y Merendero Avivamiento,Olla y Merendero,Congreso de Ávalos 025 esq Pasaje al Horno (panadería),"Lunes, Miércoles y Viernes, Sábado y Domingo",17 y 20 hs,Junio,2021
A,Olla y Merendero Los Vecinos,Olla y Merendero,Rómulo M Ceballos casi La Boyada,"Lunes, Martes, Miércoles, Viernes y Sábado",19hs,Junio,2021
A,Olla y Merendero 3 ombúes - Cantera (ex: Iniciativa Centro de Avivamiento Familiar),Olla y Merendero,Alaska 4813 bis (al fondo),Sab y dom olla LaV merendero,"sábado y domingo 13 hs olla, Lunes a viernes leche",Junio,2021
A,Olla y Merendero Bajo Valencia,Olla y Merendero,Continuación Austria 3024,Lunes y Miércoles Sábado,13 y 17 hs,Junio,2021
A,Olla y Merendero 6 de enero,Olla y Merendero,En la canchita,Lunes a domingo,Rómulo M Ceballos casi La Boyada,Junio,2021
A,Olla y Merendero Tacuarita,Olla y Merendero,Héctor Juan Yacubone Solar 352.,Lunes y Viernes Miércoles y Domingo,18hs,Junio,2021
A,Olla y Merendero Inclusa,Olla y Merendero,Inclusa 1192 . Cocinan en Pascual Blanco 2329 esq Luis de la Rosa,Lunes y Viernes,14 hs,Junio,2021
A,Olla y Merendero Tróccoli,Olla y Merendero,Joaquín Martori 9990 entre Santín Carlos Rossi y calle Martori,Lunes a viernes,16 y 18hs,Junio,2021
A,Olla y Merendero COTRAVI Unidos,Olla y Merendero,Justo Paez 303 esq Mártires de la Industria,Jueves y domingos,18.30hs.,Junio,2021
A,Olla y Merendero El Tobogán,Olla y Merendero,Luis Troccoli s/n esquina pasaje A.,Martes Jueves y Sábado,Merendero Sábados 16hs - Olla Martes y jueves 20h,Junio,2021
A,Olla y Merendero 21 de noviembre,Olla y Merendero,Pasaje 21 de Noviembre Solar 18 entre José Vidal y Ramón Piedras,"Martes, jueves y sábado",Merendero: Martes y Jueves 16hs - Olla: Jueves y Sábado 18:30hs,Junio,2021
A,Olla y Merendero Familia Feirer (ex Terminal del Cerro),Olla y Merendero,Pedro Castellino 1531 y Turquía,Jueves y domingos,Olla: Jueves y domingo 17hs. Merendero: Jueves y domingo 10 hs.,Junio,2021
